id,title,authors,year,venue,search_strings
362,Improved reference genome for the domestic horse increases assembly contiguity and composition,Ted Kalbfleisch; Edward S. Rice; Michael S. DePriest; Brian P. Walenz; Matthew S. Hestand; Joris Vermeesch; Brendan L. O’Connell; Ian T. Fiddes; Alisa O. Vershinina; Nedda F. Saremi; Jessica L. Petersen; Carrie J. Finno; Rebecca R. Bellone; Molly E. McCue; Samantha A. Brooks; Ernest Bailey; Ludovic Orlando; Richard E. Green; Donald C. Miller; Douglas F. Antczak; James N. MacLeod,2018,Communications Biology,String B
363,Core Hunter 3: flexible core subset selection,Herman De Beukelaer; Guy Davenport; Veerle Fack,2018,BMC Bioinformatics,String B
364,The coronavirus proofreading exoribonuclease mediates extensive viral recombination,Jennifer Gribble; Laura J. Stevens; Maria L. Agostini; Jordan Anderson-Daniels; James D. Chappell; Xiaotao Lu; Andrea J. Pruijssers; Andrew Routh; Mark R. Denison,2021,PLoS Pathogens,String B
365,A Comparative Analysis of Breast Cancer Detection and Diagnosis Using Data Visualization and Machine Learning Applications,Muhammet Fatih Ak,2020,Healthcare,String B
366,POIROT,Sadegh M. Milajerdi; Birhanu Eshete; Rigel Gjomemo; V.N. Venkatakrishnan,2019,,String B
367,"Virtual Screening of Natural Products against Type II Transmembrane Serine Protease (TMPRSS2), the Priming Agent of Coronavirus 2 (SARS-CoV-2)",Noor Rahman; Zarrin Basharat; Muhammad Yousuf; Giuseppe Castaldo; Luca Rastrelli; Haroon Khan,2020,Molecules,String B
368,Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas,Spencer R. Rosario; Mark D. Long; Hayley C. Affronti; Aryn M. Rowsam; Kevin H. Eng; Dominic J. Smiraglia,2018,Nature Communications,String B
369,Evaluation and comparison of bioinformatic tools for the enrichment analysis of metabolomics data,Anna Marco‐Ramell; Magalí Palau‐Rodriguez; Ania Alay; Sara Tulipani; Mireia Urpí-Sardà; Álex Sánchez‐Pla; Cristina Andrés‐Lacueva,2018,BMC Bioinformatics,String B
370,"Machine Learning Testing: Survey, Landscapes and Horizons",Jie M. Zhang; Mark Harman; Lei Ma; Yang Liu,2019,arXiv (Cornell University),String B
371,Dynamic 3D chromatin architecture contributes to enhancer specificity and limb morphogenesis,Bjørt K. Kragesteen; Malte Spielmann; Christina Paliou; Verena Heinrich; Robert Schöpflin; Andrea Esposito; Carlo Annunziatella; Simona Bianco; Andrea M. Chiariello; Ivana Jerković; Izabela Harabula; Philine Guckelberger; Michael Pechstein; Lars Wittler; Wing-Lee Chan; Martin Franke; Darío G. Lupiáñez; Katerina Kraft; Bernd Timmermann; Martin Vingron; Axel Visel; Mario Nicodemi; Stefan Mundlos; Guillaume Andrey,2018,Nature Genetics,String B
372,QCloud: A cloud-based quality control system for mass spectrometry-based proteomics laboratories,Cristina Chiva; Roger Olivella; Eva Borràs; Guadalupe Espadas; Olga Pastor; Amanda Solé; Eduard Sabidó,2018,PLoS ONE,String B
373,Genome-wide identification of DNA methylation QTLs in whole blood highlights pathways for cardiovascular disease,Tianxiao Huan; Roby Joehanes; Ci Song; Fen Peng; Yichen Guo; Michael Mendelson; Chen Yao; Chunyu Liu; Jiantao Ma; Melissa A. Richard; Golareh Agha; Weihua Guan; Lynn M. Almli; Karen N. Conneely; Joshua A. Keefe; Shih-Jen Hwang; Andrew D. Johnson; Myriam Fornage; Liming Liang; Daniel Levy,2019,Nature Communications,String B
374,PanDrugs: a novel method to prioritize anticancer drug treatments according to individual genomic data,Elena Piñeiro-Yáñez; Miguel Reboiro‐Jato; Gonzalo Goméz-López; Javier Perales-Patón; Kevin Troulé; José Manuel Rodrı́guez; Héctor Tejero; Takeshi Shimamura; Pedro P. López‐Casas; Julián Carretero; Alfonso Valencia; Manuel Hidalgo; Daniel Glez‐Peña; Fátima Al‐Shahrour,2018,Genome Medicine,String B
375,Glioma through the looking GLASS: molecular evolution of diffuse gliomas and the Glioma Longitudinal Analysis Consortium,Kenneth Aldape; Samirkumar B. Amin; David M. Ashley; Jill S. Barnholtz‐Sloan; Amanda Bates; Rameen Beroukhim; Christoph Bock; Daniel J. Brat; Elizabeth B. Claus; J Costello; John F. de Groot; Gaetano Finocchiaro; Pim J. French; Hui Gan; Brent Griffith; Christel Herold‐Mende; Craig Horbinski; Antonio Iavarone; Steven N. Kalkanis; Konstantina Karabatsou; Hoon Kim; Mathilde C.M. Kouwenhoven; Kerrie L. McDonald; Hrvoje Miletić; Do‐Hyun Nam; Ho‐Keung Ng; Simone P. Niclou; Houtan Noushmehr; D. Ryan Ormond; Laila Poisson; Guido Reifenberger; Federico Roncaroli; K. Jason; Peter A.E. Sillevis Smitt; Marion Smits; Camila Ferreira de Souza; Ghazaleh Tabatabai; Erwin G. Van Meir; Roel G.W. Verhaak; Colin Watts; Pieter Wesseling; Adelheid Wöehrer; W.K. Alfred Yung; Christine Jungk; Ann‐Christin Hau; Eric Van Dyck; Bart A. Westerman; Julia Yin; Olajide Abiola; Nikolajs Zeps; Sean M. Grimmond; Michael E. Buckland; Mustafa Khasraw; Erik P. Sulman; Andrea Muscat; Lucy F. Stead,2018,Neuro-Oncology,String B
376,Modified firefly algorithm for workflow scheduling in cloud-edge environment,Nebojša Bačanin; Miodrag Živković; Timea Bezdan; K. Venkatachalam; Mohamed Abouhawwash,2022,Neural Computing and Applications,String B
377,SapFix: Automated End-to-End Repair at Scale,Alexandru Marginean; Johannes Bader; Satish Chandra; Mark Harman; Yue Jia; Ke Mao; Alexander Mols; Andrew Scott,2019,,String B
378,"Zebrafish information network, the knowledgebase for <i>Danio rerio</i> research",Yvonne M. Bradford; Ceri E. Van Slyke; Leyla Ruzicka; Amy Singer; Anne Eagle; David Fashena; Douglas G. Howe; Ken Frazer; Ryan Martin; Holly Paddock; Christian Pich; Sridhar Ramachandran; Monte Westerfield,2022,Genetics,String B
379,Integrated proteogenomic deep sequencing and analytics accurately identify non-canonical peptides in tumor immunopeptidomes,Chloé Chong; Markus Müller; HuiSong Pak; Dermot Harnett; Florian Huber; Delphine Grün; Marion Leleu; Aymeric Auger; Marion Arnaud; Brian J. Stevenson; Justine Michaux; Ilija Bilić; Antje Hirsekorn; Lorenzo Calviello; Laia Simó‐Riudalbas; Evarist Planet; Jan Lubiński; Marta Bryśkiewicz; Maciej Wiznerowicz; Ioannis Xénarios; Lin Zhang; Didier Trono; Alexandre Harari; Uwe Ohler; George Coukos; Michal Bassani‐Sternberg,2020,Nature Communications,String B
380,Automatic Generation of Programming Exercises and Code Explanations Using Large Language Models,Sami Sarsa; Paul Denny; Arto Hellas; Juho Leinonen,2022,,String B
381,Cancer neoantigen prioritization through sensitive and reliable proteogenomics analysis,Bo Wen; Kai Li; Yun Zhang; Bing Zhang,2020,Nature Communications,String B
382,Ageing-associated changes in transcriptional elongation influence longevity,Cédric Debès; Antonios Papadakis; Sebastian Grönke; Özlem Karalay; Luke S. Tain; Athanasia Mizi; Shuhei Nakamura; Oliver Hãhn; Carina Marianne Weigelt; Nataša Josipović; Anne Zirkel; Isabell Brusius; Konstantinos Sofiadis; Mantha Lamprousi; Yuxuan Lu; Wenming Huang; Reza Esmaillie; Torsten Kubacki; Martin R. Späth; Bernhard Schermer; Thomas Benzing; Roman‐Ulrich Müller; Adam Antebi; Linda Partridge; Argyris Papantonis; Andreas Beyer,2023,Nature,String B
383,In silico prediction of toxicity and its applications for chemicals at work,Kyung-Taek Rim,2020,Toxicology and Environmental Health Sciences,String B
384,"MicroScope: an integrated platform for the annotation and exploration of microbial gene functions through genomic, pangenomic and metabolic comparative analysis",David Vallenet; Alexandra Calteau; Mathieu Dubois; Paul Amours; Adelme Bazin; Mylène Beuvin; Laura Burlot; Xavier Bussell; Stéphanie Fouteau; Guillaume Gautreau; Aurélie Lajus; Jordan Langlois; Rémi Planel; David Roche; Johan Rollin; Zoé Rouy; Valentin Sabatet; Claudine Médigue,2019,Nucleic Acids Research,String B
385,Exploration of databases and methods supporting drug repurposing: a comprehensive survey,Ziaurrehman Tanoli; Umair Seemab; Andreas Scherer; Krister Wennerberg; Jing Tang; Markus Vähä‐Koskela,2020,Briefings in Bioinformatics,String B
386,Concolic testing for deep neural networks,Youcheng Sun; Min Wu; Wenjie Ruan; Xiaowei Huang; Marta Kwiatkowska; Daniel Kroening,2018,,String B
387,Integrative molecular characterization of sarcomatoid and rhabdoid renal cell carcinoma,Ziad Bakouny; David A. Braun; Sachet A. Shukla; Wenting Pan; Xīn Gào; Yue Hou; Abdallah Flaifel; Stephen Tang; Alice Bosma-Moody; Meng Xiao He; Natalie I. Vokes; Jackson Nyman; Wanling Xie; Amin H. Nassar; Sarah Abou Alaiwi; Ronan Flippot; Gabrielle Bouchard; John A. Steinharter; Pier Vitale Nuzzo; Miriam Ficial; Miriam Sant’Angelo; Juliet Forman; Jacob E. Berchuck; Shaan Dudani; Kevin Bi; Jihye Park; Sabrina Y. Camp; Maura Sticco-Ivins; Laure Hirsch; Sylvan C. Baca; Megan Wind‐Rotolo; Petra Ross‐Macdonald; Maxine Sun; Gwo‐Shu Mary Lee; Steven L. Chang; Xiao X. Wei; Bradley A. McGregor; Lauren C. Harshman; Giannicola Genovese; Leigh Ellis; Mark M. Pomerantz; Michelle S. Hirsch; Matthew L. Freedman; Michael B. Atkins; Catherine J. Wu; Thai H. Ho; W. Marston Linehan; David F. McDermott; Daniel Y.C. Heng; Srinivas R. Viswanathan; Sabina Signoretti; Eliezer M. Van Allen; Toni K. Choueiri,2021,Nature Communications,String B
388,"Advancements and Challenges in Machine Learning: A Comprehensive Review of Models, Libraries, Applications, and Algorithms",Shahid Tufail; Hugo Riggs; Mohd Tariq; Arif I. Sarwat,2023,Electronics,String B
389,NADPH production by the oxidative pentose-phosphate pathway supports folate metabolism,Li Chen; Zhaoyue Zhang; Atsushi Hoshino; Henry D. Zheng; Michael P. Morley; Zoltàn Arany; Joshua D. Rabinowitz,2019,Nature Metabolism,String B
390,Designing a multi-epitope peptide based vaccine against SARS-CoV-2,Abhishek Singh; Mukesh Thakur; Lalit Kumar Sharma; Kailash Chandra,2020,Scientific Reports,String B
391,Selecting fault revealing mutants,Thierry Titcheu Chekam; Mike Papadakis; Tegawendé F. Bissyandé; Yves Le Traon; Koushik Sen,2019,Empirical Software Engineering,String B
392,Accelerating antibiotic discovery through artificial intelligence,Marcelo C. R. Melo; Jacqueline R. M. A. Maasch; César de la Fuente‐Núñez,2021,Communications Biology,String B
393,Multiple modes of PRC2 inhibition elicit global chromatin alterations in H3K27M pediatric glioma,James M. Stafford; Chul‐Hwan Lee; Philipp Voigt; Nicolas Descostes; Ricardo Saldaña-Meyer; Jia-Ray Yu; Gary LeRoy; Ozgur Oksuz; Jessica R. Chapman; Fernando Suarez; Aram S. Modrek; N. Sumru Bayın; Dimitris G. Placantonakis; Matthias A. Karajannis; Matija Snuderl; Beatrix Ueberheide; Danny Reinberg,2018,Science Advances,String B
394,In-silico design of a multi-epitope vaccine candidate against onchocerciasis and related filarial diseases,Robert Adamu Shey; Stephen Mbigha Ghogomu; Kevin Esoh; Derrick Neba Nebangwa; Cabirou Mounchili Shintouo; Nkemngo Francis Nongley; Bertha Fru; Ferdinand Njume Ngale; Luc Vanhamme; Jacob Souopgui,2019,Scientific Reports,String B
395,Semantic fuzzing with zest,Rohan Padhye; Caroline Lemieux; Koushik Sen; Mike Papadakis; Yves Le Traon,2019,,String B
396,Virus-induced senescence is a driver and therapeutic target in COVID-19,Soyoung Lee; Yong Yu; Jakob Trimpert; Fahad Benthani; Mario Mairhofer; Paulina Richter‐Pechańska; Emanuel Wyler; Dimitri Belenki; Sabine Kaltenbrunner; Maria Pammer; Lea Kausche; Theresa C. Firsching; Kristina Dietert; Michael Schotsaert; Carles Martínez‐Romero; Gagandeep Singh; Séverine Kunz; Daniela Niemeyer; Riad Ghanem; Helmut J.F. Salzer; Christian Paar; Michael Mülleder; Melissa B. Uccellini; Edward Michaelis; Amjad Khan; Andrea Lau; Martin Schönlein; Anna Habringer; Josef Tomasits; Julia M. Adler; Susanne Kimeswenger; Achim D. Gruber; Wolfram Hoetzenecker; Herta Steinkellner; Bettina Purfürst; Reinhard Motz; Francesco Di Pierro; Bernd Lamprecht; Nikolaus Osterrieder; Markus Landthaler; Christian Drosten; Adolfo García‐Sastre; Rupert Langer; Markus Ralser; Roland Eils; Maurice Reimann; Dorothy Ngo-Yin Fan; Clemens A. Schmitt,2021,Nature,String B
397,Neural program repair with execution-based backpropagation,He Ye; Matías Martínez; Martin Monperrus,2022,Proceedings of the 44th International Conference on Software Engineering,String B
398,CogStack - experiences of deploying integrated information retrieval and extraction services in a large National Health Service Foundation Trust hospital,Richard Jackson; Ismail E. Kartoglu; Clive Stringer; Genevieve Gorrell; Angus Roberts; Xingyi Song; Honghan Wu; Asha Agrawal; Kenneth Lui; Tudor Groza; Damian Lewsley; Doug Northwood; Amos Folarin; Robert Stewart; Richard Dobson,2018,BMC Medical Informatics and Decision Making,String B
399,Web-based design and analysis tools for CRISPR base editing,Gue‐Ho Hwang; Jeongbin Park; Kayeong Lim; Sung‐Hyun Kim; Jihyeon Yu; Eunchong Yu; Sang‐Tae Kim; Roland Eils; Jin‐Soo Kim; Sangsu Bae,2018,BMC Bioinformatics,String B
400,TMK-based cell-surface auxin signalling activates cell-wall acidification,Wenwei Lin; Xiang Zhou; Wenxin Tang; Koji Takahashi; Xue Pan; Jiawei Dai; Hong Yu Ren; Xiaoyue Zhu; Songqin Pan; Haiyan Zheng; William M. Gray; Tongda Xu; Toshinori Kinoshita; Zhenbiao Yang,2021,Nature,String B
401,Model-based testing using UML activity diagrams: A systematic mapping study,Tanwir Ahmad; Junaid Iqbal; Adnan Ashraf; Dragoş Truşcan; Iván Porres,2019,Computer Science Review,String B
402,TIAToolbox as an end-to-end library for advanced tissue image analytics,Johnathan Pocock; Simon Graham; Quoc Dang Vu; Mostafa Jahanifar; Srijay Deshpande; Giorgos Hadjigeorghiou; Adam Shephard; Raja Muhammad Saad Bashir; Mohsin Bilal; Wenqi Lu; D. B. A. Epstein; Fayyaz Minhas; Nasir M. Rajpoot; Shan E Ahmed Raza,2022,Communications Medicine,String B
403,High throughput error corrected Nanopore single cell transcriptome sequencing,Kévin Lebrigand; Virginie Magnone; Pascal Barbry; Rainer Waldmann,2020,Nature Communications,String B
404,Approximate Bayesian computation with deep learning supports a third archaic introgression in Asia and Oceania,Mayukh Mondal; Jaume Bertranpetit; Óscar Lao,2019,Nature Communications,String B
405,LC3/GABARAPs drive ubiquitin-independent recruitment of Optineurin and NDP52 to amplify mitophagy,Benjamin Scott Padman; Thanh Ngoc Nguyen; Louise Uoselis; Marvin Skulsuppaisarn; Lan K. Nguyen; Michael Lazarou,2019,Nature Communications,String B
406,Large Language Models for Test-Free Fault Localization,Aidan Z. H. Yang; Claire Le Goues; Ruben Martins; Vincent J. Hellendoorn,2024,,String B
407,Unsupervised Multi-Omics Data Integration Methods: A Comprehensive Review,Nasim Vahabi; George Michailidis,2022,Frontiers in Genetics,String B
408,Priming of dendritic cells by DNA-containing extracellular vesicles from activated T cells through antigen-driven contacts,Daniel Torralba; Francesc Baixauli; Carolina Villarroya‐Beltri; Irene Fernández‐Delgado; Ana Latorre; Rebeca Acín‐Pérez; Noa B. Martín‐Cófreces; Ángel Luis Jaso-Tamame; Salvador Iborra; Inmaculada Jorge; Gloria González‐Aseguinolaza; Johan Garaude; Miguel Vicente‐Manzanares; José Antonio Enrı́quez; Marı́a Mittelbrunn; Francisco Sánchez‐Madrid,2018,Nature Communications,String B
409,Emergence of artemisinin-resistant Plasmodium falciparum with kelch13 C580Y mutations on the island of New Guinea,Olivo Miotto; Makoto Sekihara; Shin‐Ichiro Tachibana; Masato Yamauchi; Richard D. Pearson; Roberto Amato; Sónia Gonçalves; Somya Mehra; Rintis Noviyanti; Jutta Marfurt; Sarah Auburn; Ric N. Price; Ivo Müeller; Mie Ikeda; Toshiyuki Mori; Makoto Hirai; Livingstone Tavul; Manuel W. Hetzel; Moses Laman; Alyssa E. Barry; Pascal Ringwald; Jun Ohashi; Francis Hombhanje; Dominic Kwiatkowski; Toshihiro Mita,2020,PLoS Pathogens,String B
410,Alignment of Biological Sequences with Jalview,James B Procter; G. Mungo Carstairs; Ben Soares; Kira Mourão; T. Charles Ofoegbu; Daniel L. Barton; Lauren Michelle Lui; Anne Menard; Natasha Sherstnev; David Roldan-Martinez; Suzanne Duce; David Martin; Geoffrey J. Barton,2020,Methods in molecular biology,String B
411,Myofibroblast transcriptome indicates SFRP2hi fibroblast progenitors in systemic sclerosis skin,Tracy Tabib; Mengqi Huang; Nina Morse; Anna Papazoglou; Rithika Behera; Minxue Jia; Melissa Bulik; Daisy Monier; Panayiotis V. Benos; Wei Chen; Robyn T. Domsic; Robert Lafyatis,2021,Nature Communications,String B
412,Software fairness,Yuriy Brun; Alexandra Meliou,2018,,String B
413,Genomic diversity affects the accuracy of bacterial single-nucleotide polymorphism–calling pipelines,Stephen J. Bush; Dona Foster; David W. Eyre; Emily L. Clark; Nicola De Maio; Liam P. Shaw; Nicole Stoesser; Tim Peto; Derrick W. Crook; A Sarah Walker,2020,GigaScience,String B
414,A snowballing literature study on test amplification,Benjamin Danglot; Oscar Vera-Perez; Zhongxing Yu; Andy Zaidman; Martin Monperrus; Benoit Baudry,2019,Journal of Systems and Software,String B
415,A Fast Non-Negative Latent Factor Model Based on Generalized Momentum Method,Xin Luo; Zhigang Liu; Shuai Li; Mingsheng Shang; Zidong Wang,2018,IEEE Transactions on Systems Man and Cybernetics Systems,String B
416,LncBook: a curated knowledgebase of human long non-coding RNAs,Lina Ma; Jiabao Cao; Lin Liu; Qiang Du; Li Zhao; Dong Zou; Vladimir B. Bajić; Zhang Zhang,2018,Nucleic Acids Research,String B
417,Automated Grading and Feedback Tools for Programming Education: A Systematic Review,Marcus Messer; Neil C. C. Brown; Michael Kölling; Miaojing Shi,2023,ACM Transactions on Computing Education,String B
418,iFixFlakies: a framework for automatically fixing order-dependent flaky tests,August Shi; Wing Lam; Reed Oei; Tao Xie; Darko Marinov,2019,,String B
419,Cartesian genetic programming: its status and future,Julian F. Miller,2019,Genetic Programming and Evolvable Machines,String B
420,An Optimization Method for Intrusion Detection Classification Model Based on Deep Belief Network,Peng Wei; Yufeng Li; Zhen Zhang; Tao Hu; Ziyong Li; Diyang Liu,2019,IEEE Access,String B
421,Smartphone-based platforms implementing microfluidic detection with image-based artificial intelligence,Bangfeng Wang; Yiwei Li; Mengfan Zhou; Yulong Han; Mingyu Zhang; Zhaolong Gao; Zetai Liu; Peng Chen; Wei Du; Xingcai Zhang; Xiaojun Feng; Bi‐Feng Liu,2023,Nature Communications,String B
422,Efficient sampling of SAT solutions for testing,Rafael Dutra; Kevin Laeufer; Jonathan Bachrach; Koushik Sen,2018,,String B
423,Applications of crowdsourcing in health: an overview,Kerri Wazny,2018,Journal of Global Health,String B
424,Dengue fever and insecticide resistance in Aedes mosquitoes in Southeast Asia: a review,Soon Jian Gan; Yong Qi Leong; Muhammad Fakrul Hakim bin Barhanuddin; Siew Tung Wong; Shew Fung Wong; Joon Wah Mak; Rohani Ahmad,2021,Parasites & Vectors,String B
425,"Review on Scheduling, Clustering, and Forecasting Strategies for Controlling Electric Vehicle Charging: Challenges and Recommendations",Ali Saadon Al-Ogaili; Tengku Juhana Tengku Hashim; N. A. Rahmat; Agileswari K. Ramasamy; Marayati Binti Marsadek; M. Faisal; M. A. Hannan,2019,IEEE Access,String B
426,The CoLoMoTo Interactive Notebook: Accessible and Reproducible Computational Analyses for Qualitative Biological Networks,Aurélien Naldi; Céline Hernandez; Nicolas Levy; Gautier Stoll; Pedro T. Monteiro; Claudine Chaouiya; Tomáš Helikar; Andreï Zinovyev; Laurence Calzone; Sarah Cohen‐Boulakia; Denis Thieffry; Loïc Paulevé,2018,Frontiers in Physiology,String B
427,"A Review of Scrub Typhus (Orientia tsutsugamushi and Related Organisms): Then, Now, and Tomorrow",Alison Luce-Fedrow; Marcie L. Lehman; Daryl J. Kelly; Kristin Mullins; Alice N. Maina; Richard L. Stewart; Hong Ge; Heidi St. John; Ju Jiang; Allen L. Richards,2018,Tropical Medicine and Infectious Disease,String B
428,"Pf7: an open dataset of Plasmodium falciparum genome variation in 20,000 worldwide samples",MalariaGEN; Muzamil Mahdi Abdel Hamid; Mohamed Hassan Abdelraheem; Desmond Omane Acheampong; Ambroise D. Ahouidi; Mozam Ali; Jacob Almagro‐Garcia; Alfred Amambua‐Ngwa; Chanaki Amaratunga; Lucas Amenga–Etego; Ben Andagalu; Tim Anderson; Voahangy Andrianaranjaka; Ifeyinwa Aniebo; Enoch Aninagyei; Felix Ansah; Patrick Ansah; Tobias O. Apinjoh; Paulo Arnaldo; Elizabeth A. Ashley; Sarah Auburn; Gordon A. Awandare; Hampaté Bâ; Vito Baraka; Alyssa E. Barry; Philip Bejon; Gwladys Bertin; Maciej F. Boni; Steffen Borrmann; Teun Bousema; Marielle Karine Bouyou-Akotet; OraLee H. Branch; Peter C. Bull; H K Cheah; Keobouphaphone Chindavongsa; Thanat Chookajorn; Kesinee Chotivanich; Antoine Claessens; David J. Conway; Vladimir Corredor; Erin Courtier; Alister Craig; Umberto D’Alessandro; Souleymane Dama; Nicholas Day; Brigitte Denis; Mehul Dhorda; Mahamadou Diakité; Abdoulaye Djimdé; Christiane Dolecek; Arjen M. Dondorp; Seydou Doumbia; Chris Drakeley; Eleanor Drury; Patrick Duffy; Diego F. Echeverry; Thomas G. Egwang; Sónia Maria Enosse; Berhanu Erko; Rick M. Fairhurst; Abdul Faiz; Caterina Fanello; Mark Fleharty; Matthew Forbes; Mark M. Fukuda; Dionicia Gamboa; Anita Ghansah; Lemu Golassa; Sónia Gonçalves; G. L. Abby Harrison; Sara A. Healy; Jason A. Hendry; Anastasia Hernández-Koutoucheva; Tran Tinh Hien; Catherine A. St. Hill; Francis Hombhanje; Amanda Hott; Ye Htut; Mazza Hussein; Mallika Imwong; Deus S. Ishengoma; Scott A. Jackson; Chris Jacob; Julia Jeans; Kimberly J. Johnson; Claire Kamaliddin; Edwin Kamau; Jon Keatley; Theerarat Kochakarn; Drissa Konaté; Abibatou Konaté; Aminatou Koné; Dominic Kwiatkowski; Myat Phone Kyaw; Dennis E. Kyle; Mara Lawniczak; Samuel K. Lee; Martha Lemnge; Pharath Lim; Chanthap Lon,2023,Wellcome Open Research,String B
429,"SiCloneFit: Bayesian inference of population structure, genotype, and phylogeny of tumor clones from single-cell genome sequencing data",Hamim Zafar; Nicholas E. Navin; Ken Chen; Luay Nakhleh,2019,Genome Research,String B
430,When LLMs meet cybersecurity: a systematic literature review,Jie Zhang; H. Bu; Hui Wen; Yongji Liu; Haiqiang Fei; Rongrong Xi; Lun Li; Yun Yang; Hongsong Zhu; Dan Meng,2025,Cybersecurity,String B
431,Thrombocytopathy and endotheliopathy: crucial contributors to COVID-19 thromboinflammation,Sean X. Gu; Tarun Tyagi; Kanika Jain; Vivian W. Gu; Seung Hee Lee; Jonathan M. Hwa; Jennifer M. Kwan; Diane S. Krause; Alfred Ian Lee; Stephanie Halene; Kathleen A. Martin; Hyung J. Chun; John Hwa,2020,Nature Reviews Cardiology,String B
432,SAVIOR: Towards Bug-Driven Hybrid Testing,Yaohui Chen; Peng Li; Jun Xu; Shengjian Guo; Rundong Zhou; Yulong Zhang; Tao Wei; Long Lu,2020,,String B
433,Compiler fuzzing through deep learning,Chris Cummins; Pavlos Petoumenos; Alastair Murray; Hugh Leather,2018,,String B
434,Accurate and sensitive quantification of protein-DNA binding affinity,Chaitanya Rastogi; H. Tomas Rube; Judith F. Kribelbauer; Justin Crocker; Ryan Loker; Gabriella Martini; Oleg Laptenko; William A. Freed-Pastor; Carol Prives; David L. Stern; Richard S. Mann; Harmen J. Bussemaker,2018,Proceedings of the National Academy of Sciences,String B
435,An adaptive multi-population differential artificial bee colony algorithm for many-objective service composition in cloud manufacturing,Jiajun Zhou; Xifan Yao; Yingzi Lin; Felix T.S. Chan; Yun Li,2018,Information Sciences,String B
436,Rapid prenatal diagnosis using targeted exome sequencing: a cohort study to assess feasibility and potential impact on prenatal counseling and pregnancy management,Natalie Chandler; Sunayna Best; Jane Hayward; Francesca Faravelli; Sahar Mansour; Emma Kivuva; Dagmar Tapon; Alison Male; Catherine DeVile; Lyn S. Chitty,2018,Genetics in Medicine,String B
437,The ABC of Software Engineering Research,Klaas-Jan Stol; Brian Fitzgerald,2018,ACM Transactions on Software Engineering and Methodology,String B
438,Accuracy and diversity-aware multi-objective approach for random forest construction,Nour El Islem Karabadji; Abdelaziz Amara Korba; Ali Assi; Hassina Seridi; Sabeur Aridhi; Wajdi Dhifli,2023,Expert Systems with Applications,String B
439,Systematic Evaluation of Whole Genome Sequence-Based Predictions of Salmonella Serotype and Antimicrobial Resistance,Ashley Cooper; Andrew Low; Adam Koziol; Matthew C. Thomas; Daniel Leclair; Sandeep Tamber; Alex Wong; Burton W. Blais; Catherine D. Carrillo,2020,Frontiers in Microbiology,String B
440,A3Test: Assertion-Augmented Automated Test case generation,Saranya Alagarsamy; Chakkrit Tantithamthavorn; Aldeida Aleti,2024,Information and Software Technology,String B
441,"Identification of CDK2-Related Immune Forecast Model and ceRNA in Lung Adenocarcinoma, a Pan-Cancer Analysis",Tingting Liu; Rui Li; Huo Chen; Jianping Li; Jie Yao; Xiu-Li Ji; Yi-Qing Qu,2021,Frontiers in Cell and Developmental Biology,String B
442,LY6E impairs coronavirus fusion and confers immune control of viral disease,Stephanie Pfaender; Katrina B. Mar; Eleftherios Michailidis; Annika Kratzel; Ian N. Boys; Philip V’kovski; Wenchun Fan; Jenna N. Kelly; Dagny Hirt; Nadine Ebert; Hanspeter Stalder; Hannah Kleine‐Weber; Markus Hoffmann; Hans-Heinrich Hoffmann; Mohsan Saeed; Ronald Dijkman; Eike Steinmann; Mary Wight‐Carter; Matthew B. McDougal; Natasha W. Hanners; Stefan Pöhlmann; Tom Gallagher; Daniel Tödt; Gert Zimmer; Charles M. Rice; John W. Schoggins; Volker Thiel,2020,Nature Microbiology,String B
443,Machine-Learning-Assisted De Novo Design of Organic Molecules and Polymers: Opportunities and Challenges,Guang Chen; Zhiqiang Shen; Akshay Iyer; Umar Farooq Ghumman; Shan Tang; Jinbo Bi; Wei Chen; Ying Li,2020,Polymers,String B
444,Changing Trends in Computational Drug Repositioning,Jaswanth Yella; Suryanarayana Yaddanapudi; Yunguan Wang; Anil G. Jegga,2018,Pharmaceuticals,String B
445,The use of digital pathology and image analysis in clinical trials,Robert Pell; Karin A. Oien; Max Robinson; Helen Pitman; Nasir Rajpoot; Jens Rittscher; David Snead; Clare Verrill,2019,The Journal of Pathology Clinical Research,String B
446,Towards practical program repair with on-demand candidate generation,Jinru Hua; Mengshi Zhang; Kaiyuan Wang; Sarfraz Khurshid,2018,,String B
447,Detection of SQL Injection Attack Using Machine Learning Techniques: A Systematic Literature Review,Maha Alghawazi; Daniyal Alghazzawi; Suaad Alarifi,2022,Journal of Cybersecurity and Privacy,String B
448,A NPAS4–NuA4 complex couples synaptic activity to DNA repair,Elizabeth A. Pollina; Daniel T. Gilliam; Andrew T. Landau; Cindy Lin; Naomi Pajarillo; Christopher P. Davis; David A. Harmin; Ee-Lynn Yap; Ian Vogel; Eric C. Griffith; M. Aurel Nagy; Emi Ling; Erin E. Duffy; Bernardo L. Sabatini; Charles J. Weitz; Michael E. Greenberg,2023,Nature,String B
449,Therapeutic Targeting of the Complement System: From Rare Diseases to Pandemics,Peter Garred; Andrea J. Tenner; Tom Eirik Mollnes,2021,Pharmacological Reviews,String B
